StartRegion,DestRegion,Drive
Bycity,Mvcountry,0.0
Hbcity,Mvcountry,0.0
Hecity,Mvcountry,0.0
Hhcity,Mvcountry,0.0
Mvcity,Mvcountry,0.0
Nicity,Mvcountry,0.0
Nwcity,Mvcountry,0.0
Rpcity,Mvcountry,0.0
Shcity,Mvcountry,0.0
Slcity,Mvcountry,0.0
Sncity,Mvcountry,0.0
Stcity,Mvcountry,0.0
Thcity,Mvcountry,0.0
Bbcountry,Nicountry,0.0
Becountry,Nicountry,0.0
Bwcountry,Nicountry,0.0
Bycountry,Nicountry,0.0
Hbcountry,Nicountry,0.0
Hecountry,Nicountry,0.0
Hhcountry,Nicountry,0.0
Mvcountry,Nicountry,0.0
Nicountry,Nicountry,0.0
Nwcountry,Nicountry,0.0
Rpcountry,Nicountry,0.0
Shcountry,Nicountry,0.0
Slcountry,Nicountry,0.0
Sncountry,Nicountry,0.0
Stcountry,Nicountry,0.0
Thcountry,Nicountry,0.0
Bbcity,Nicountry,0.0
Becity,Nicountry,0.0
Bwcity,Nicountry,0.0
Bycity,Nicountry,0.0
Hbcity,Nicountry,0.0
Hecity,Nicountry,0.0
Hhcity,Nicountry,0.0
Mvcity,Nicountry,0.0
Nicity,Nicountry,0.0
Nwcity,Nicountry,0.0
Rpcity,Nicountry,0.0
Shcity,Nicountry,0.0
Slcity,Nicountry,0.0
Sncity,Nicountry,0.0
Stcity,Nicountry,0.0
Thcity,Nicountry,0.0
Bbcountry,Nwcountry,0.0
Becountry,Nwcountry,0.0
Bwcountry,Nwcountry,0.0
Bycountry,Nwcountry,0.0
Hbcountry,Nwcountry,0.0
Hecountry,Nwcountry,0.0
Hhcountry,Nwcountry,0.0
Mvcountry,Nwcountry,0.0
Nicountry,Nwcountry,0.0
Nwcountry,Nwcountry,0.0
Rpcountry,Nwcountry,0.0
Shcountry,Nwcountry,0.0
Slcountry,Nwcountry,0.0
Sncountry,Nwcountry,0.0
Stcountry,Nwcountry,0.0
Thcountry,Nwcountry,0.0
Bbcity,Nwcountry,0.0
Becity,Nwcountry,0.0
Bwcity,Nwcountry,0.0
Bycity,Nwcountry,0.0
Hbcity,Nwcountry,0.0
Hecity,Nwcountry,0.0
Hhcity,Nwcountry,0.0
Mvcity,Nwcountry,0.0
Nicity,Nwcountry,0.0
Nwcity,Nwcountry,0.0
Rpcity,Nwcountry,0.0
Shcity,Nwcountry,0.0
Slcity,Nwcountry,0.0
Sncity,Nwcountry,0.0
Stcity,Nwcountry,0.0
Thcity,Nwcountry,0.0
Bbcountry,Rpcountry,0.0
Becountry,Rpcountry,0.0
Bwcountry,Rpcountry,0.0
Bycountry,Rpcountry,0.0
Hbcountry,Rpcountry,0.0
