country,Plant,hour,value
Bwcountry,Onshore,19,0.19135
Bycountry,Onshore,19,0.178614285714286
Hecountry,Onshore,19,0.1095
Nicountry,Onshore,19,0.223675
Nwcountry,Onshore,19,0.1835
Rpcountry,Onshore,19,0.170766666666667
Sncountry,Onshore,19,0.199666666666667
Becountry,Onshore,20,0.1312
Bbcountry,Onshore,20,0.1842
Hbcountry,Onshore,20,0.2419
Hhcountry,Onshore,20,0.1994
Mvcountry,Onshore,20,0.1783
Slcountry,Onshore,20,0.2946
Stcountry,Onshore,20,0.1847
Shcountry,Onshore,20,0.3062
Thcountry,Onshore,20,0.1627
Bwcountry,Onshore,20,0.2304
Bycountry,Onshore,20,0.2445
Hecountry,Onshore,20,0.1401
Nicountry,Onshore,20,0.213425
Nwcountry,Onshore,20,0.2116
Rpcountry,Onshore,20,0.2152
Sncountry,Onshore,20,0.1977
Becountry,Onshore,21,0.1179
Bbcountry,Onshore,21,0.1615
Hbcountry,Onshore,21,0.2468
Hhcountry,Onshore,21,0.1903
Mvcountry,Onshore,21,0.1486
Slcountry,Onshore,21,0.3117
Stcountry,Onshore,21,0.1733
Shcountry,Onshore,21,0.3367
Thcountry,Onshore,21,0.1535
Bwcountry,Onshore,21,0.231175
Bycountry,Onshore,21,0.2816
Hecountry,Onshore,21,0.183866666666667
Nicountry,Onshore,21,0.21235
Nwcountry,Onshore,21,0.2139
Rpcountry,Onshore,21,0.238933333333333
Sncountry,Onshore,21,0.182533333333333
Becountry,Onshore,22,0.1135
Bbcountry,Onshore,22,0.151
